,Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Incomplete Address
154,S-003,C ,Eau Claire Memorial,2225 Keith St. Eau Claire WI 54701,Eau Claire,School,126,18981,264600,Eagle Point Solar,10/1/20 0:00,44.79606389,-91.470661,FALSE
155,S-004,C ,Eau Claire North HS,"1801 Piedmont Rd, Eau Claire WI 54703",Eau Claire,School,126,18981,264600,Eagle Point Solar,10/1/20 0:00,44.84504722,-91.482753,FALSE
156,S-005,C ,Forest Edge Elementary School (Oregon School District),"Forest Edge El. School 123 E Grove St 
Oregon WI 53575 ",Oregon,School,646,18981,1356600,TBD/HGA,8/1/20 0:00,42.92802222,-89.3821,FALSE
157,S-006,C ,MERTON Community SD,"N68W28460 Sussex Rd 
Merton WI 53056",Merton,School,389,37962,816900,Sunvest,12/19/20 0:00,43.14270278,-88.310956,FALSE
158,S-007,C ,Marshfield HS,"1401 E Becker Rd 
Marshfield WI 54449 ",Marshfield,School,7.4,3796.2,15540,PV Systems/  Students,10/1/20 0:00,44.67158333,-90.153861,FALSE
159,S-009,C,Madison College - Fort Atkinson Campus,827 Banker Rd. Fort Atkinson WI 53538,Fort Atkinson,Technical College,149.5,18981,313950,Arch Electric,9/1/20 0:00,42.94044722,-88.855842,FALSE
160,S-010,C,Madison College - Reedsburg Campus,"300 Alexander Ave. Reedsburg, WI 53959",Reedsburg,Technical College,99.9,18981,209790,Arch Electric,9/1/20 0:00,43.53111632,-90.025309,FALSE
161,S-011,C,MSTC (tech college),Stevens Point Campus 1001 Center Point Dr. Stevens Point WI 54481,Stevens Point,Technical College,50,18981,105000,Student Install,8/1/20 0:00,44.52449722,-89.585347,FALSE
162,S-012,C,NWTC (tech college),"Green Bay Campus 2470 West Mason St. Green Bay, WI 54303",Green Bay,Technical College,19.8,3796.2,41580,TBD ,12/1/20 0:00,44.52696389,-88.092825,FALSE
163,S-013,C,1 Rice Lake Area School District,"Tainter Elementary, 2201 Carrie Ave, Rice Lake, WI 54868",Rice Lake,School,200,15747.199999999999,420000,Carlson Electric,9/1/21 0:00,45.47771389,-91.726903,FALSE
164,S-014,C,1 Rice Lake Area School District,"Rice Lake Middle School, 204 Cameron Rd, Rice Lake, WI 54868",Rice Lake,School,250,15747.199999999999,525000,Carlson Electric,9/1/21 0:00,45.49854167,-91.753439,FALSE
165,S-015,C,1 Rice Lake Area School District,"Rice Lake HS, 30 S Wisconsin Ave. Rice Lake, WI 54868",Rice Lake,School,300,15747.199999999999,630000,Carlson Electric,9/1/21 0:00,45.49986389,-91.746567,FALSE
