,Unnamed: 0.1,Unnamed: 0,Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Image URL
18,18,18,C019,C,Walnut Way Conservation Corp.,"2240 N 17th St., Milwaukee, WI 53205",Milwaukee,Poverty alleviation,7.5,4500.0,22500.0,Arch Electric,3/8/19 0:00,43.059825,-87.933614,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C019-WalnutWay-1.jpg
19,19,19,C020,C,St. Bridget's Catholic Church,"211 E. Division Street, River Falls, WI 54022",River Falls,Faith,23.0,10000.0,88912.0,Energy Concepts,8/29/19 0:00,44.86300833,-92.621175,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C020-StBridget.jpg
20,20,20,C021,C,First Unitarian Society of Madison,"900 University Bay Drive, Madison, WI 53705",Madison,Faith,83.0,20000.0,169495.0,Full Spectrum Solar,11/25/19 0:00,43.07553889,-89.435572,
21,21,21,C022,C,Alice's Garden,"2136 N 21st St., Milwaukee, WI 53205",Milwaukee,Food,4.0,9000.0,45000.0,Arch Electric,8/20/21 0:00,43.058625,-87.938225,
22,22,22,C039,C,Attic Angel Place,8301 Old Sauk Rd.,Middleton,Housing,146.25,20000.0,264712.5,SunVest,8/6/19 0:00,43.07352778,-89.528606,
23,23,23,C032,C,Bethel Horizons - Arts Center,4651 Co Rd ZZ,Dodgeville,Youth Services,23.44,10000.0,51461.65,WES Engineering,4/1/19 0:00,43.04569444,-90.119867,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C032-033-BethelHorizons-2.jpg
24,24,24,C033,C,Bethel Horizons - Prairie Center,4651 Co Rd ZZ,Dodgeville,Youth Services,22.0,10000.0,52713.5,WES Engineering,4/1/19 0:00,43.04569444,-90.119867,
25,25,25,C044,C,Blackhawk Evangelical ,"5935 Astor Dr., Fitchburg, WI 53711",Middleton,Faith,100.0,20000.0,190000.0,H and H,10/18/19 0:00,43.00663056,-89.456844,
26,26,26,C034,C,Christ Lutheran Church,237 Daley Street,Spring Green,Faith,18.36,8500.0,42807.68,WES Engineering,4/1/19 0:00,43.17910556,-90.065864,
27,27,27,C038,C,Housing Authority of Milwaukee,6236 W. Birch Street,Milwaukee,Housing,3.96,3028.0,15140.0,Arch Electric,6/27/19 0:00,43.11748056,-87.989547,
