Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Incomplete Address,Image URL
C012,C,"Sinsinawa Dominicans, Inc","585 Co Rd Z, Sinsinawa, WI 53824",Sinsinawa,Faith,250.0,20000.0,410764.0,Eagle Point Solar,2018-11-06 00:00:00,42.5235323,-90.5400232,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C012-Sinsinawa-2.jpg
C013,C,Veterans Outreach of Wisconsin,"1624 Yout St, Racine, WI 53404",Racine,Veterans,19.8,10000.0,52375.0,Arch,2018-11-06 00:00:00,42.74583535294118,-87.8008881764706,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C013-VetOutreach-1.jpg
C014,C,Heckrodt Wetland Reserve,"1305 Plank Rd, Menasha, WI 54952",Menasha,Conservation,19.6,10000.0,55750.0,Eland Electric Corporation,2018-08-15 00:00:00,44.21163,-88.419843,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C014-Heckrodt2.jpg
C015,C,Memorial United Church of Christ,"5705 Lacy Rd, Fitchburg, WI 53711",Fitchburg,Faith,20.0,10000.0,50000.0,Midwest Solar Power,2018-08-17 00:00:00,43.00121142699234,-89.4408892298066,FALSE,
C016,C,Community Homestead Incorporated,"501 280th St, Osceola, WI 54020",Osceola,Human Services,19.2,9000.0,45000.0,Legacy Solar,2018-10-11 00:00:00,45.282256,-92.733331,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C016CommunityHomestead-1.jpg
C017,C,VFW Post 8483,"5737 County Hwy C V, Madison, WI 53704",Madison,Veterans,40.3,10000.0,81850.0,Midwest Solar Power,2019-01-04 00:00:00,43.161973,-89.33518,FALSE,
C018,C,Pleasant Ridge Waldorf School,"431 E Court St, Viroqua, WI 54665",Viroqua,Education,10.5,5721.0,28605.0,Ethos Green Power LLC,2019-01-28 00:00:00,43.556177285714284,-90.88504602040817,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C018-PleasantRidge-Waldorf.jpg
C019,C,Walnut Way Conservation Corp.,"2240 N 17th St, Milwaukee, WI 53205",Milwaukee,Poverty alleviation,7.5,4500.0,22500.0,Arch Electric,2019-03-08 00:00:00,43.059668670978226,-87.9338021416867,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C019-WalnutWay-1.jpg
C020,C,St. Bridget's Catholic Church,"211 E Division St, River Falls, WI 54022",River Falls,Faith,23.0,10000.0,88912.0,Energy Concepts,2019-08-29 00:00:00,44.862524984921805,-92.62226381687093,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C020-StBridget.jpg
C021,C,First Unitarian Society of Madison,"900 University Bay Dr, Madison, WI 53705",Madison,Faith,83.0,20000.0,169495.0,Full Spectrum Solar,2019-11-25 00:00:00,43.07573055,-89.43475245392398,FALSE,
C022,C,Alice's Garden,"2136 N 21st St, Milwaukee, WI 53205",Milwaukee,Food,4.0,9000.0,45000.0,Arch Electric,2021-08-20 00:00:00,43.0581907406341,-87.93873413088376,FALSE,
C039,C,Attic Angel Place,"640 Junction Rd, Madison, WI 53717",Middleton,Housing,146.25,20000.0,264712.5,SunVest,2019-08-06 00:00:00,43.073996,-89.52781,FALSE,
C032,C,Bethel Horizons - Arts Center,"2VWJ+73 Dodgeville, WI, 5355",Dodgeville,Youth Services,23.44,10000.0,51461.65,WES Engineering,2019-04-01 00:00:00,42.9600059,-90.1304461,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C032-033-BethelHorizons-2.jpg
C033,C,Bethel Horizons - Prairie Center,"2VWJ+73 Dodgeville, WI, 5355",Dodgeville,Youth Services,22.0,10000.0,52713.5,WES Engineering,2019-04-01 00:00:00,42.9600059,-90.1304461,FALSE,
